n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,model_size_mb,training_mem_mb,f1_score
279,14,,2,1,83.64488983,112.2109375,0.896264127
107,37,,3,4,26.98429394,28.671875,0.891411493
25,2,,3,1,0.045078278,2.59375,0.096781528
406,18,sqrt,2,5,100.2498159,142.96875,0.913858266
354,9,log2,6,1,33.74860096,35.171875,0.798669208
341,26,,5,5,75.65995598,109.5820313,0.879675286
87,15,sqrt,5,5,19.79892349,20.67578125,0.901218609
376,5,log2,10,5,4.517066002,6.73828125,0.435307445
97,6,log2,2,1,2.212702751,1.546875,0.541447875
387,16,,2,5,80.65803909,106.25,0.870197538
44,33,log2,3,3,15.10362434,22.703125,0.920832687
422,41,log2,10,3,112.9160757,153.9960938,0.915049468
33,25,sqrt,4,3,11.31991577,18.50390625,0.916384899
65,10,,8,2,7.213027954,14.12109375,0.770483067
81,5,,5,5,0.931099892,8.3984375,0.344109195
97,29,log2,3,5,24.46549988,29.87890625,0.907478317
97,39,log2,6,5,24.46549988,37.1953125,0.907478317
211,36,sqrt,10,4,54.91064072,77.98046875,0.92034919
139,6,sqrt,7,1,3.124773979,4.52734375,0.537230711
354,27,,4,5,78.57589626,117.921875,0.87947295
212,3,,8,1,0.693937302,8.60546875,0.150405449
208,50,log2,6,2,73.13617897,77.1328125,0.935538922
179,7,log2,2,3,7.023191452,0.69140625,0.631595245
441,48,sqrt,8,5,111.1764536,152.2070313,0.911911037
151,8,log2,6,3,9.612308502,0.62890625,0.714931453
219,31,log2,6,5,55.19976425,0.62109375,0.911382986
121,25,log2,2,5,30.49682617,-0.55078125,0.909673884
282,18,log2,8,5,69.6318121,19.28125,0.91060206
98,40,log2,7,2,32.24123192,43.78125,0.933880239
157,8,,7,2,8.671411514,0.61328125,0.663351211
369,39,,3,4,92.93601418,59.9140625,0.892278735
368,43,,3,2,125.5762377,71.09765625,0.918520203
365,34,,3,1,138.2197323,66.3359375,0.930728206
93,6,log2,6,5,2.059247971,9.22265625,0.536602863
34,41,sqrt,3,4,9.874761581,9.88671875,0.903498518
108,45,,2,3,31.29360962,19.0703125,0.905510915
307,13,,9,2,57.74906921,1.91796875,0.863212568
170,4,,7,1,1.057712555,0.3671875,0.245258497
167,7,,10,3,5.655119896,0.4921875,0.563597334
198,9,,4,4,16.05491257,0.49609375,0.735467331
111,33,log2,4,2,45.46945572,75.5078125,0.93622179
319,42,log2,4,4,92.76327991,37.5,0.915662169
195,10,log2,2,4,24.02066135,0.76953125,0.820863049
457,26,,4,5,101.3985004,57.5234375,0.876398396
76,18,,7,2,20.5668335,31.1171875,0.901530622
215,2,sqrt,3,2,0.375845909,0.54296875,0.096975993
306,4,sqrt,2,3,1.928324699,0.51171875,0.330409165
203,10,,8,1,22.5795517,0.78515625,0.776965856
136,35,,7,1,39.52273178,7.609375,0.918547165
262,39,log2,4,1,109.4544668,67.52734375,0.947591548
